sx_pg,sy_pg,sx_pgas,sy_pgas
3.08766,2.99916,3.44709,3.05596
3.39683,3.0025,3.4071,3.14215
3.33409,3.03714,2.9704,3.09764
3.07133,3.0089,3.06618,3.15166
3.11743,3.02885,3.65094,3.30027
3.14311,3.01697,3.83027,3.06889
3.3224,3.03033,3.51188,3.17386
3.04132,3.03013,3.4367,3.17592
2.91521,3.01823,3.47236,3.27205
3.33606,3.04048,3.25565,3.43059
3.32104,3.02816,3.36257,3.36567
3.3185,3.0129,3.36105,3.33777
3.1209,3.19074,3.23777,3.43199
3.30341,3.1245,3.39774,3.39074
3.12071,3.15064,3.39487,3.42968
3.42938,2.9656,3.31686,3.42089
3.18373,2.92193,3.04518,3.33931
3.36307,2.93702,2.99338,3.32671
3.23257,2.96063,3.42956,3.45617
3.30556,2.9777,3.33265,3.45886
3.60138,2.91649,3.21045,3.37919
3.23831,2.9143,3.06902,3.03952
3.0726,2.95593,3.56871,3.09358
3.28134,3.01021,3.60511,3.1849
3.26378,3.03392,3.82044,3.15765
3.03849,3.00578,3.61947,3.1258
3.22091,3.04172,3.3815,3.09689
3.23993,3.02682,3.34464,3.15901
3.30244,3.1014,3.2744,3.08408
3.13097,3.02551,3.23419,3.00565
2.95763,3.00488,3.78396,3.14256
2.97275,2.99663,3.59073,3.18706
2.94708,2.99283,3.30757,3.39888
3.15587,2.99612,3.24256,3.08455
3.32216,3.00669,3.06008,3.00844
3.45752,3.1057,3.77989,3.2138
3.25855,3.10681,3.50646,3.02639
3.57501,3.13881,3.45155,3.17065
3.47105,3.20215,3.62479,3.20939
3.07678,3.15545,3.51384,3.18568
3.46714,3.18236,3.90252,3.13611
3.29674,3.09519,3.64466,3.16559
3.36477,3.09314,3.47001,3.233
3.42599,3.09988,3.1755,3.26052
3.14822,3.22182,3.44894,3.04312
3.47258,3.21245,3.08147,3.13299
3.22258,3.22327,3.30006,3.22028
3.20434,3.21016,3.25833,3.24184
3.1058,3.2322,3.71435,3.25935
2.99599,3.22531,3.64043,3.25959
2.87904,3.15873,3.46124,3.2494
3.0414,3.12828,3.5051,3.28274
3.2265,3.14705,3.18151,3.20997
3.23868,3.10707,3.65514,3.34158
3.17792,3.12171,3.42307,3.25244
3.13262,3.01982,3.59823,3.34868
3.49382,3.03721,3.1105,3.22943
3.09581,3.01845,3.45704,3.28202
3.24028,3.06134,3.22802,3.39356
3.0858,2.9503,3.30207,3.27153
3.46681,3.0816,3.31644,3.19925
3.46681,3.0816,3.2129,3.10458
3.21646,2.94503,3.51774,3.24214
3.0572,3.03738,3.35985,3.09321
3.03715,3.05472,3.44735,3.12436
2.97871,3.07309,3.62958,3.06738
3.16935,3.02919,3.54797,3.17949
3.09303,2.99573,3.17761,3.07284
3.24258,3.06303,2.82446,3.2111
3.37106,3.03223,2.78306,3.09623
3.06671,2.96716,3.18649,3.23295
3.35418,2.97451,3.14668,3.36309
3.45861,2.9933,3.06861,3.25042
3.18029,2.94899,3.11397,3.30197
3.32327,2.9378,3.41617,3.15601
3.16363,3.01779,3.58771,3.2026
3.16029,2.99902,3.77624,3.31804
3.16029,2.99902,3.41035,3.47156
3.15588,3.10112,3.49136,3.25654
3.06194,3.10758,3.19386,3.19393
2.99827,3.0187,3.11483,3.10321
3.08034,3.01401,3.3956,3.24604
3.47554,3.04138,3.52181,3.0995
3.17502,3.05862,3.11888,3.20083
3.20323,3.05923,3.06583,3.35
3.2971,3.04747,3.45833,3.32484
3.14458,3.06106,3.60808,3.10983
3.01105,3.03778,3.97295,3.21852
3.21916,3.07774,4.15335,3.37544
3.28123,3.00684,3.94909,3.44079
3.07249,2.95797,4.0085,3.39858
3.0253,2.97463,4.32329,3.2365
2.94555,2.9717,3.94257,2.95114
3.08319,2.96035,3.40192,3.01105
3.03692,2.98742,3.29369,3.09254
3.05248,2.92769,3.82012,3.1848
3.132,2.9551,3.91476,3.11952
3.04934,2.95879,3.25448,3.20314
2.90199,2.95465,4.11756,3.25141
3.11602,2.96354,3.83836,3.40894
3.019,3.00226,3.40613,3.39007
3.02217,2.93244,3.53615,3.37496
2.89627,2.99321,3.45475,3.22893
3.3742,2.95875,3.39901,3.31254
3.11534,2.90232,2.99095,3.21466
3.47343,2.93423,2.97348,3.24679
3.11108,2.97705,3.10678,3.20783
3.14244,2.93354,3.08182,3.30241
3.04198,3.00061,3.24211,3.29587
3.05673,2.96878,3.59369,3.25682
3.186,3.09089,3.5747,3.25132
3.25837,3.05566,3.6612,3.22527
3.11514,2.97294,3.49869,3.22447
3.15296,2.95601,3.3231,3.44272
3.19843,2.98745,3.12186,3.48311
3.02016,2.96952,3.31657,3.36469
2.84423,2.97257,3.74781,3.28705
2.94408,2.97036,4.01196,3.34731
2.94408,2.97036,3.82196,3.3242
3.17636,2.95134,3.91258,3.43291
2.99525,3.01228,3.59053,3.3736
3.08819,2.94507,3.51017,3.49009
3.32016,3.00606,3.28072,3.29386
3.0967,3.03764,3.34437,3.17673
3.01612,2.95923,3.32099,3.28107
3.41556,3.00735,3.0911,3.31227
